Source,Target,Weight
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,3
1,7,0
1,8,0
1,9,0
1,10,1
1,11,1
1,12,3
1,13,1
1,14,1
1,15,1
1,16,1
1,17,2
1,18,2
1,19,2
1,20,2
1,21,2
1,22,2
1,23,2
1,24,2
1,25,2
1,26,2
1,27,3
1,28,3
1,29,3
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,3
2,7,0
2,8,0
2,9,0
2,10,2
2,11,1
2,12,3
2,13,1
2,14,1
2,15,1
2,16,1
2,17,2
2,18,1
2,19,2
2,20,2
2,21,2
2,22,2
2,23,2
2,24,2
2,25,2
2,26,2
2,27,2
2,28,3
2,29,3
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,3
3,7,0
3,8,0
3,9,0
3,10,2
3,11,0
3,12,3
3,13,1
3,14,1
3,15,1
3,16,1
3,17,2
3,18,1
3,19,1
3,20,1
3,21,2
3,22,2
3,23,2
3,24,2
3,25,2
3,26,2
3,27,2
3,28,2
3,29,3
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,3
4,7,0
4,8,0
4,9,0
4,10,2
4,11,0
4,12,3
4,13,1
4,14,1
4,15,1
4,16,1
4,17,2
4,18,1
4,19,1
4,20,1
4,21,1
4,22,2
4,23,2
4,24,2
4,25,2
4,26,2
4,27,2
4,28,2
4,29,2
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,3
5,7,0
5,8,0
5,9,0
5,10,1
5,11,0
5,12,3
5,13,1
5,14,1
5,15,1
5,16,1
5,17,2
5,18,1
5,19,1
5,20,1
5,21,1
5,22,2
5,23,2
5,24,2
5,25,2
5,26,2
5,27,2
5,28,2
5,29,2
6,1,3
6,2,3
6,3,3
6,4,3
6,5,3
6,6,0
6,7,3
6,8,3
6,9,3
6,10,1
6,11,3
6,12,0
6,13,3
6,14,3
6,15,3
6,16,3
6,17,1
6,18,3
6,19,3
6,20,4
6,21,4
6,22,3
6,23,3
6,24,3
6,25,3
6,26,4
6,27,4
6,28,4
6,29,4
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,3
7,7,0
7,8,0
7,9,0
7,10,2
7,11,0
7,12,3
7,13,0
7,14,0
7,15,0
7,16,1
7,17,2
7,18,1
7,19,1
7,20,1
7,21,1
7,22,1
7,23,1
7,24,2
7,25,2
7,26,2
7,27,2
7,28,2
7,29,2
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,3
8,7,0
8,8,0
8,9,0
8,10,2
8,11,0
8,12,3
8,13,0
8,14,0
8,15,0
8,16,0
8,17,2
8,18,1
8,19,1
8,20,1
8,21,1
8,22,1
8,23,1
8,24,2
8,25,2
8,26,2
8,27,2
8,28,2
8,29,2
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,3
9,7,0
9,8,0
9,9,0
9,10,1
9,11,0
9,12,2
9,13,0
9,14,0
9,15,0
9,16,0
9,17,2
9,18,1
9,19,1
9,20,1
9,21,1
9,22,1
9,23,1
9,24,2
9,25,1
9,26,1
9,27,2
9,28,2
9,29,2
10,1,1
10,2,2
10,3,2
10,4,2
10,5,1
10,6,1
10,7,2
10,8,2
10,9,1
10,10,0
10,11,1
10,12,1
10,13,2
10,14,1
10,15,2
10,16,2
10,17,0
10,18,2
10,19,2
10,20,2
10,21,2
10,22,1
10,23,2
10,24,1
10,25,2
10,26,2
10,27,2
10,28,2
10,29,3
11,1,1
11,2,1
11,3,0
11,4,0
11,5,0
11,6,3
11,7,0
11,8,0
11,9,0
11,10,1
11,11,0
11,12,3
11,13,0
11,14,0
11,15,0
11,16,0
11,17,2
11,18,0
11,19,0
11,20,1
11,21,1
11,22,1
11,23,1
11,24,1
11,25,1
11,26,1
11,27,1
11,28,2
11,29,2
12,1,3
12,2,3
12,3,3
12,4,3
12,5,3
12,6,0
12,7,3
12,8,3
12,9,2
12,10,1
12,11,3
12,12,0
12,13,3
12,14,3
12,15,3
12,16,3
12,17,1
12,18,3
12,19,3
12,20,3
12,21,3
12,22,2
12,23,3
12,24,2
12,25,3
12,26,3
12,27,3
12,28,3
12,29,3
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
13,6,3
13,7,0
13,8,0
13,9,0
13,10,2
13,11,0
13,12,3
13,13,0
13,14,0
13,15,0
13,16,0
13,17,2
13,18,0
13,19,0
13,20,0
13,21,0
13,22,1
13,23,1
13,24,1
13,25,1
13,26,1
13,27,1
13,28,1
13,29,1
14,1,1
14,2,1
14,3,1
14,4,1
14,5,1
14,6,3
14,7,0
14,8,0
14,9,0
14,10,1
14,11,0
14,12,3
14,13,0
14,14,0
14,15,0
14,16,0
14,17,2
14,18,0
14,19,0
14,20,0
14,21,0
14,22,1
14,23,1
14,24,1
14,25,1
14,26,1
14,27,1
14,28,1
14,29,1
15,1,1
15,2,1
15,3,1
15,4,1
15,5,1
15,6,3
15,7,0
15,8,0
15,9,0
15,10,2
15,11,0
15,12,3
15,13,0
15,14,0
15,15,0
15,16,0
15,17,2
15,18,0
15,19,0
15,20,0
15,21,0
15,22,1
15,23,0
15,24,1
15,25,1
15,26,1
15,27,1
15,28,1
15,29,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
16,6,3
16,7,1
16,8,0
16,9,0
16,10,2
16,11,0
16,12,3
16,13,0
16,14,0
16,15,0
16,16,0
16,17,2
16,18,0
16,19,0
16,20,0
16,21,0
16,22,1
16,23,0
16,24,1
16,25,1
16,26,1
16,27,1
16,28,1
16,29,1
17,1,2
17,2,2
17,3,2
17,4,2
17,5,2
17,6,1
17,7,2
17,8,2
17,9,2
17,10,0
17,11,2
17,12,1
17,13,2
17,14,2
17,15,2
17,16,2
17,17,0
17,18,2
17,19,2
17,20,2
17,21,2
17,22,1
17,23,2
17,24,1
17,25,2
17,26,2
17,27,2
17,28,2
17,29,2
18,1,2
18,2,1
18,3,1
18,4,1
18,5,1
18,6,3
18,7,1
18,8,1
18,9,1
18,10,2
18,11,0
18,12,3
18,13,0
18,14,0
18,15,0
18,16,0
18,17,2
18,18,0
18,19,0
18,20,0
18,21,0
18,22,0
18,23,0
18,24,1
18,25,0
18,26,1
18,27,1
18,28,1
18,29,1
19,1,2
19,2,2
19,3,1
19,4,1
19,5,1
19,6,3
19,7,1
19,8,1
19,9,1
19,10,2
19,11,0
19,12,3
19,13,0
19,14,0
19,15,0
19,16,0
19,17,2
19,18,0
19,19,0
19,20,0
19,21,0
19,22,0
19,23,0
19,24,1
19,25,0
19,26,0
19,27,1
19,28,1
19,29,1
20,1,2
20,2,2
20,3,1
20,4,1
20,5,1
20,6,4
20,7,1
20,8,1
20,9,1
20,10,2
20,11,1
20,12,3
20,13,0
20,14,0
20,15,0
20,16,0
20,17,2
20,18,0
20,19,0
20,20,0
20,21,0
20,22,0
20,23,0
20,24,1
20,25,0
20,26,0
20,27,0
20,28,0
20,29,1
21,1,2
21,2,2
21,3,2
21,4,1
21,5,1
21,6,4
21,7,1
21,8,1
21,9,1
21,10,2
21,11,1
21,12,3
21,13,0
21,14,0
21,15,0
21,16,0
21,17,2
21,18,0
21,19,0
21,20,0
21,21,0
21,22,0
21,23,0
21,24,1
21,25,0
21,26,0
21,27,0
21,28,0
21,29,0
22,1,2
22,2,2
22,3,2
22,4,2
22,5,2
22,6,3
22,7,1
22,8,1
22,9,1
22,10,1
22,11,1
22,12,2
22,13,1
22,14,1
22,15,1
22,16,1
22,17,1
22,18,0
22,19,0
22,20,0
22,21,0
22,22,0
22,23,0
22,24,0
22,25,0
22,26,0
22,27,0
22,28,1
22,29,1
23,1,2
23,2,2
23,3,2
23,4,2
23,5,2
23,6,3
23,7,1
23,8,1
23,9,1
23,10,2
23,11,1
23,12,3
23,13,1
23,14,1
23,15,0
23,16,0
23,17,2
23,18,0
23,19,0
23,20,0
23,21,0
23,22,0
23,23,0
23,24,1
23,25,0
23,26,0
23,27,0
23,28,0
23,29,0
24,1,2
24,2,2
24,3,2
24,4,2
24,5,2
24,6,3
24,7,2
24,8,2
24,9,2
24,10,1
24,11,1
24,12,2
24,13,1
24,14,1
24,15,1
24,16,1
24,17,1
24,18,1
24,19,1
24,20,1
24,21,1
24,22,0
24,23,1
24,24,0
24,25,0
24,26,1
24,27,1
24,28,1
24,29,1
25,1,2
25,2,2
25,3,2
25,4,2
25,5,2
25,6,3
25,7,2
25,8,2
25,9,1
25,10,2
25,11,1
25,12,3
25,13,1
25,14,1
25,15,1
25,16,1
25,17,2
25,18,0
25,19,0
25,20,0
25,21,0
25,22,0
25,23,0
25,24,0
25,25,0
25,26,0
25,27,0
25,28,0
25,29,0
26,1,2
26,2,2
26,3,2
26,4,2
26,5,2
26,6,4
26,7,2
26,8,2
26,9,1
26,10,2
26,11,1
26,12,3
26,13,1
26,14,1
26,15,1
26,16,1
26,17,2
26,18,1
26,19,0
26,20,0
26,21,0
26,22,0
26,23,0
26,24,1
26,25,0
26,26,0
26,27,0
26,28,0
26,29,0
27,1,3
27,2,2
27,3,2
27,4,2
27,5,2
27,6,4
27,7,2
27,8,2
27,9,2
27,10,2
27,11,1
27,12,3
27,13,1
27,14,1
27,15,1
27,16,1
27,17,2
27,18,1
27,19,1
27,20,0
27,21,0
27,22,0
27,23,0
27,24,1
27,25,0
27,26,0
27,27,0
27,28,0
27,29,0
28,1,3
28,2,3
28,3,2
28,4,2
28,5,2
28,6,4
28,7,2
28,8,2
28,9,2
28,10,2
28,11,2
28,12,3
28,13,1
28,14,1
28,15,1
28,16,1
28,17,2
28,18,1
28,19,1
28,20,0
28,21,0
28,22,1
28,23,0
28,24,1
28,25,0
28,26,0
28,27,0
28,28,0
28,29,0
29,1,3
29,2,3
29,3,3
29,4,2
29,5,2
29,6,4
29,7,2
29,8,2
29,9,2
29,10,3
29,11,2
29,12,3
29,13,1
29,14,1
29,15,1
29,16,1
29,17,2
29,18,1
29,19,1
29,20,1
29,21,0
29,22,1
29,23,0
29,24,1
29,25,0
29,26,0
29,27,0
29,28,0
29,29,0
