Source,Target,Weight
1,1,0
1,2,6273378
1,3,17943273
1,4,21889250
1,5,2996083
1,6,122094080
1,7,16108413
1,8,21716013
1,9,3888513
1,10,63599416
1,11,11704638
1,12,112617127
1,13,17849973
1,14,10587733
1,15,15191103
1,16,22956103
1,17,71598227
1,18,23700123
1,19,17042825
1,20,22453893
1,21,21260658
1,22,8219439
1,23,12637668
1,24,36220707
1,25,2127043
1,26,5446538
1,27,3552648
1,28,20090583
1,29,15999213
2,1,6273378
2,2,0
2,3,11669895
2,4,15615872
2,5,3277295
2,6,128367458
2,7,9835035
2,8,15442635
2,9,2384865
2,10,69872794
2,11,5431260
2,12,118890505
2,13,11576595
2,14,4314355
2,15,8917725
2,16,16682725
2,17,77871605
2,18,17426745
2,19,10769447
2,20,16180515
2,21,14987280
2,22,14492817
2,23,6364290
2,24,42494085
2,25,4146335
2,26,826840
2,27,2720730
2,28,13817205
2,29,9725835
3,1,17943273
3,2,11669895
3,3,0
3,4,3945977
3,5,14947190
3,6,140037353
3,7,1834860
3,8,3772740
3,9,14054760
3,10,81542689
3,11,6238635
3,12,130560400
3,13,93300
3,14,7355540
3,15,2752170
3,16,5012830
3,17,89541500
3,18,5756850
3,19,900448
3,20,4510620
3,21,3317385
3,22,26162712
3,23,5305605
3,24,54163980
3,25,15816230
3,26,12496735
3,27,14390625
3,28,2147310
3,29,1944060
4,1,21889250
4,2,15615872
4,3,3945977
4,4,0
4,5,18893167
4,6,143983330
4,7,5780837
4,8,173237
4,9,18000737
4,10,85488666
4,11,10184612
4,12,134506377
4,13,4039277
4,14,11301517
4,15,6698147
4,16,1066853
4,17,93487477
4,18,1810873
4,19,4846425
4,20,564643
4,21,628592
4,22,30108689
4,23,9251582
4,24,58109957
4,25,19762207
4,26,16442712
4,27,18336602
4,28,1798667
4,29,5890037
5,1,2996083
5,2,3277295
5,3,14947190
5,4,18893167
5,5,0
5,6,125090163
5,7,13112330
5,8,18719930
5,9,892430
5,10,66595499
5,11,8708555
5,12,115613210
5,13,14853890
5,14,7591650
5,15,12195020
5,16,19960020
5,17,74594310
5,18,20704040
5,19,14046742
5,20,19457810
5,21,18264575
5,22,11215522
5,23,9641585
5,24,39216790
5,25,869040
5,26,2450455
5,27,556565
5,28,17094500
5,29,13003130
6,1,122094080
6,2,128367458
6,3,140037353
6,4,143983330
6,5,125090163
6,6,0
6,7,138202493
6,8,143810093
6,9,125982593
6,10,58494664
6,11,133798718
6,12,9476953
6,13,139944053
6,14,132681813
6,15,137285183
6,16,145050183
6,17,50495853
6,18,145794203
6,19,139136905
6,20,144547973
6,21,143354738
6,22,113874641
6,23,134731748
6,24,85873373
6,25,124221123
6,26,127540618
6,27,125646728
6,28,142184663
6,29,138093293
7,1,16108413
7,2,9835035
7,3,1834860
7,4,5780837
7,5,13112330
7,6,138202493
7,7,0
7,8,5607600
7,9,12219900
7,10,79707829
7,11,4403775
7,12,128725540
7,13,1741560
7,14,5520680
7,15,917310
7,16,6847690
7,17,87706640
7,18,7591710
7,19,934412
7,20,6345480
7,21,5152245
7,22,24327852
7,23,3470745
7,24,52329120
7,25,13981370
7,26,10661875
7,27,12555765
7,28,3982170
7,29,109200
8,1,21716013
8,2,15442635
8,3,3772740
8,4,173237
8,5,18719930
8,6,143810093
8,7,5607600
8,8,0
8,9,17827500
8,10,85315429
8,11,10011375
8,12,134333140
8,13,3866040
8,14,11128280
8,15,6524910
8,16,1240090
8,17,93314240
8,18,1984110
8,19,4673188
8,20,737880
8,21,455355
8,22,29935452
8,23,9078345
8,24,57936720
8,25,19588970
8,26,16269475
8,27,18163365
8,28,1625430
8,29,5716800
9,1,3888513
9,2,2384865
9,3,14054760
9,4,18000737
9,5,892430
9,6,125982593
9,7,12219900
9,8,17827500
9,9,0
9,10,67487929
9,11,7816125
9,12,116505640
9,13,13961460
9,14,6699220
9,15,11302590
9,16,19067590
9,17,75486740
9,18,19811610
9,19,13154312
9,20,18565380
9,21,17372145
9,22,12107952
9,23,8749155
9,24,40109220
9,25,1761470
9,26,1558025
9,27,335865
9,28,16202070
9,29,12110700
10,1,63599416
10,2,69872794
10,3,81542689
10,4,85488666
10,5,66595499
10,6,58494664
10,7,79707829
10,8,85315429
10,9,67487929
10,10,0
10,11,75304054
10,12,49017711
10,13,81449389
10,14,74187149
10,15,78790519
10,16,86555519
10,17,7998811
10,18,87299539
10,19,80642241
10,20,86053309
10,21,84860074
10,22,55379977
10,23,76237084
10,24,27378709
10,25,65726459
10,26,69045954
10,27,67152064
10,28,83689999
10,29,79598629
11,1,11704638
11,2,5431260
11,3,6238635
11,4,10184612
11,5,8708555
11,6,133798718
11,7,4403775
11,8,10011375
11,9,7816125
11,10,75304054
11,11,0
11,12,124321765
11,13,6145335
11,14,1116905
11,15,3486465
11,16,11251465
11,17,83302865
11,18,11995485
11,19,5338187
11,20,10749255
11,21,9556020
11,22,19924077
11,23,933030
11,24,47925345
11,25,9577595
11,26,6258100
11,27,8151990
11,28,8385945
11,29,4294575
12,1,112617127
12,2,118890505
12,3,130560400
12,4,134506377
12,5,115613210
12,6,9476953
12,7,128725540
12,8,134333140
12,9,116505640
12,10,49017711
12,11,124321765
12,12,0
12,13,130467100
12,14,123204860
12,15,127808230
12,16,135573230
12,17,41018900
12,18,136317250
12,19,129659952
12,20,135071020
12,21,133877785
12,22,104397688
12,23,125254795
12,24,76396420
12,25,114744170
12,26,118063665
12,27,116169775
12,28,132707710
12,29,128616340
13,1,17849973
13,2,11576595
13,3,93300
13,4,4039277
13,5,14853890
13,6,139944053
13,7,1741560
13,8,3866040
13,9,13961460
13,10,81449389
13,11,6145335
13,12,130467100
13,13,0
13,14,7262240
13,15,2658870
13,16,5106130
13,17,89448200
13,18,5850150
13,19,807148
13,20,4603920
13,21,3410685
13,22,26069412
13,23,5212305
13,24,54070680
13,25,15722930
13,26,12403435
13,27,14297325
13,28,2240610
13,29,1850760
14,1,10587733
14,2,4314355
14,3,7355540
14,4,11301517
14,5,7591650
14,6,132681813
14,7,5520680
14,8,11128280
14,9,6699220
14,10,74187149
14,11,1116905
14,12,123204860
14,13,7262240
14,14,0
14,15,4603370
14,16,12368370
14,17,82185960
14,18,13112390
14,19,6455092
14,20,11866160
14,21,10672925
14,22,18807172
14,23,2049935
14,24,46808440
14,25,8460690
14,26,5141195
14,27,7035085
14,28,9502850
14,29,5411480
15,1,15191103
15,2,8917725
15,3,2752170
15,4,6698147
15,5,12195020
15,6,137285183
15,7,917310
15,8,6524910
15,9,11302590
15,10,78790519
15,11,3486465
15,12,127808230
15,13,2658870
15,14,4603370
15,15,0
15,16,7765000
15,17,86789330
15,18,8509020
15,19,1851722
15,20,7262790
15,21,6069555
15,22,23410542
15,23,2553435
15,24,51411810
15,25,13064060
15,26,9744565
15,27,11638455
15,28,4899480
15,29,808110
16,1,22956103
16,2,16682725
16,3,5012830
16,4,1066853
16,5,19960020
16,6,145050183
16,7,6847690
16,8,1240090
16,9,19067590
16,10,86555519
16,11,11251465
16,12,135573230
16,13,5106130
16,14,12368370
16,15,7765000
16,16,0
16,17,94554330
16,18,744020
16,19,5913278
16,20,502210
16,21,1695445
16,22,31175542
16,23,10318435
16,24,59176810
16,25,20829060
16,26,17509565
16,27,19403455
16,28,2865520
16,29,6956890
17,1,71598227
17,2,77871605
17,3,89541500
17,4,93487477
17,5,74594310
17,6,50495853
17,7,87706640
17,8,93314240
17,9,75486740
17,10,7998811
17,11,83302865
17,12,41018900
17,13,89448200
17,14,82185960
17,15,86789330
17,16,94554330
17,17,0
17,18,95298350
17,19,88641052
17,20,94052120
17,21,92858885
17,22,63378788
17,23,84235895
17,24,35377520
17,25,73725270
17,26,77044765
17,27,75150875
17,28,91688810
17,29,87597440
18,1,23700123
18,2,17426745
18,3,5756850
18,4,1810873
18,5,20704040
18,6,145794203
18,7,7591710
18,8,1984110
18,9,19811610
18,10,87299539
18,11,11995485
18,12,136317250
18,13,5850150
18,14,13112390
18,15,8509020
18,16,744020
18,17,95298350
18,18,0
18,19,6657298
18,20,1246230
18,21,2439465
18,22,31919562
18,23,11062455
18,24,59920830
18,25,21573080
18,26,18253585
18,27,20147475
18,28,3609540
18,29,7700910
19,1,17042825
19,2,10769447
19,3,900448
19,4,4846425
19,5,14046742
19,6,139136905
19,7,934412
19,8,4673188
19,9,13154312
19,10,80642241
19,11,5338187
19,12,129659952
19,13,807148
19,14,6455092
19,15,1851722
19,16,5913278
19,17,88641052
19,18,6657298
19,19,0
19,20,5411068
19,21,4217833
19,22,25262264
19,23,4405157
19,24,53263532
19,25,14915782
19,26,11596287
19,27,13490177
19,28,3047758
19,29,1043612
20,1,22453893
20,2,16180515
20,3,4510620
20,4,564643
20,5,19457810
20,6,144547973
20,7,6345480
20,8,737880
20,9,18565380
20,10,86053309
20,11,10749255
20,12,135071020
20,13,4603920
20,14,11866160
20,15,7262790
20,16,502210
20,17,94052120
20,18,1246230
20,19,5411068
20,20,0
20,21,1193235
20,22,30673332
20,23,9816225
20,24,58674600
20,25,20326850
20,26,17007355
20,27,18901245
20,28,2363310
20,29,6454680
21,1,21260658
21,2,14987280
21,3,3317385
21,4,628592
21,5,18264575
21,6,143354738
21,7,5152245
21,8,455355
21,9,17372145
21,10,84860074
21,11,9556020
21,12,133877785
21,13,3410685
21,14,10672925
21,15,6069555
21,16,1695445
21,17,92858885
21,18,2439465
21,19,4217833
21,20,1193235
21,21,0
21,22,29480097
21,23,8622990
21,24,57481365
21,25,19133615
21,26,15814120
21,27,17708010
21,28,1170075
21,29,5261445
